date,sku,our_price,competitor,competitor_price,price_gap_pct
20201020,149,30.48,CompetitorA,32.7,7.3
20201020,149,30.48,CompetitorB,34.99,14.8
20201020,149,30.48,CompetitorC,33.51,9.9
20201020,39,41.46,CompetitorA,33.71,-18.7
20201020,39,41.46,CompetitorB,33.72,-18.7
20201020,39,41.46,CompetitorC,46.0,11.0
20201020,6,59.88,CompetitorA,55.09,-8.0
20201020,6,59.88,CompetitorB,60.61,1.2
20201020,6,59.88,CompetitorC,52.13,-12.9
20201020,1,53.14,CompetitorA,42.64,-19.8
20201020,1,53.14,CompetitorB,53.01,-0.2
20201020,1,53.14,CompetitorC,53.09,-0.1
20201020,111,55.68,CompetitorA,50.21,-9.8
20201020,111,55.68,CompetitorB,58.99,5.9
20201020,111,55.68,CompetitorC,46.92,-15.7
20201020,57,67.16,CompetitorA,60.02,-10.6
20201020,57,67.16,CompetitorB,72.1,7.4
20201020,57,67.16,CompetitorC,57.49,-14.4
20201020,76,40.06,CompetitorA,35.21,-12.1
20201020,76,40.06,CompetitorB,40.69,1.6
20201020,76,40.06,CompetitorC,32.5,-18.9
20201020,3,40.19,CompetitorA,32.46,-19.2
20201020,3,40.19,CompetitorB,42.71,6.3
20201020,3,40.19,CompetitorC,38.15,-5.1
20201020,52,37.7,CompetitorA,41.95,11.3
20201020,52,37.7,CompetitorB,37.73,0.1
20201020,52,37.7,CompetitorC,33.6,-10.9
20201020,64,58.59,CompetitorA,63.32,8.1
20201020,64,58.59,CompetitorB,47.9,-18.2
20201020,64,58.59,CompetitorC,55.4,-5.4
20201020,148,32.44,CompetitorA,31.88,-1.7
20201020,148,32.44,CompetitorB,31.76,-2.1
20201020,148,32.44,CompetitorC,27.8,-14.3
20201020,67,37.97,CompetitorA,38.49,1.4
20201020,67,37.97,CompetitorB,38.62,1.7
20201020,67,37.97,CompetitorC,39.51,4.1
20201020,2,29.08,CompetitorA,27.36,-5.9
20201020,2,29.08,CompetitorB,28.17,-3.1
20201020,2,29.08,CompetitorC,25.7,-11.6
20201020,153,81.33,CompetitorA,82.58,1.5
20201020,153,81.33,CompetitorB,69.38,-14.7
20201020,153,81.33,CompetitorC,76.06,-6.5
20201020,7,61.43,CompetitorA,49.59,-19.3
20201020,7,61.43,CompetitorB,64.03,4.2
20201020,7,61.43,CompetitorC,57.52,-6.4
20201020,107,45.85,CompetitorA,41.68,-9.1
20201020,107,45.85,CompetitorB,37.49,-18.2
20201020,107,45.85,CompetitorC,39.02,-14.9
20201020,83,57.47,CompetitorA,63.72,10.9
20201020,83,57.47,CompetitorB,50.0,-13.0
20201020,83,57.47,CompetitorC,61.47,7.0
20201020,8,56.61,CompetitorA,62.8,10.9
20201020,8,56.61,CompetitorB,47.84,-15.5
20201020,8,56.61,CompetitorC,48.53,-14.3
20201020,110,67.39,CompetitorA,63.9,-5.2
20201020,110,67.39,CompetitorB,72.71,7.9
20201020,110,67.39,CompetitorC,66.84,-0.8
20201020,155,41.49,CompetitorA,44.96,8.4
20201020,155,41.49,CompetitorB,46.89,13.0
20201020,155,41.49,CompetitorC,45.03,8.5
20201024,148,32.44,CompetitorA,30.51,-5.9
20201024,148,32.44,CompetitorB,26.49,-18.3
20201024,148,32.44,CompetitorC,35.69,10.0
20201024,39,41.46,CompetitorA,35.77,-13.7
20201024,39,41.46,CompetitorB,39.24,-5.4
20201024,39,41.46,CompetitorC,34.12,-17.7
20201024,64,58.59,CompetitorA,55.39,-5.5
20201024,64,58.59,CompetitorB,62.36,6.4
20201024,64,58.59,CompetitorC,50.44,-13.9
20201024,153,81.33,CompetitorA,82.69,1.7
20201024,153,81.33,CompetitorB,92.12,13.3
20201024,153,81.33,CompetitorC,75.56,-7.1
20201024,52,37.7,CompetitorA,41.26,9.4
20201024,52,37.7,CompetitorB,41.84,11.0
20201024,52,37.7,CompetitorC,33.78,-10.4
20201024,155,41.49,CompetitorA,41.19,-0.7
20201024,155,41.49,CompetitorB,37.61,-9.4
20201024,155,41.49,CompetitorC,36.91,-11.0
20201024,8,56.61,CompetitorA,52.29,-7.6
20201024,8,56.61,CompetitorB,59.88,5.8
20201024,8,56.61,CompetitorC,52.11,-7.9
20201024,149,30.48,CompetitorA,26.97,-11.5
20201024,149,30.48,CompetitorB,25.2,-17.3
20201024,149,30.48,CompetitorC,26.14,-14.2
20201024,76,40.06,CompetitorA,33.31,-16.8
20201024,76,40.06,CompetitorB,40.68,1.5
20201024,76,40.06,CompetitorC,44.39,10.8
20201024,1,53.14,CompetitorA,42.8,-19.5
20201024,1,53.14,CompetitorB,54.0,1.6
20201024,1,53.14,CompetitorC,53.58,0.8
20201024,6,59.88,CompetitorA,58.07,-3.0
20201024,6,59.88,CompetitorB,66.4,10.9
20201024,6,59.88,CompetitorC,63.77,6.5
20201024,107,45.85,CompetitorA,51.56,12.5
20201024,107,45.85,CompetitorB,39.85,-13.1
20201024,107,45.85,CompetitorC,44.99,-1.9
20201024,110,67.39,CompetitorA,62.19,-7.7
20201024,110,67.39,CompetitorB,54.9,-18.5
20201024,110,67.39,CompetitorC,56.76,-15.8
20201024,2,29.08,CompetitorA,26.67,-8.3
20201024,2,29.08,CompetitorB,23.62,-18.8
20201024,2,29.08,CompetitorC,32.93,13.2
20201024,67,37.97,CompetitorA,42.59,12.2
20201024,67,37.97,CompetitorB,36.89,-2.8
20201024,67,37.97,CompetitorC,36.6,-3.6
20201024,83,57.47,CompetitorA,46.97,-18.3
20201024,83,57.47,CompetitorB,47.58,-17.2
20201024,83,57.47,CompetitorC,53.24,-7.4
20201024,46,47.84,CompetitorA,54.0,12.9
20201024,46,47.84,CompetitorB,49.98,4.5
20201024,46,47.84,CompetitorC,44.62,-6.7
