date,store_id,product_id,product_category,quantity_demanded,on_hand_inventory,safety_stock,current_price,base_price,cost_price,gross_margin,margin_percentage,competitor_price,price_elasticity,is_promoted,promotion_discount_pct,days_inventory,stockout_risk
20220101,10,101,Electronics,56,87,144,72.23,82.71,43.34,28.89,40.0,66.45,1.0693,0,0.0,1.53,1
20220102,10,101,Electronics,66,7,144,37.17,43.37,22.3,14.87,40.0,33.61,1.0787,0,0.0,0.1,1
20220103,10,101,Electronics,46,80,144,75.89,85.76,45.53,30.36,40.0,77.58,1.0623,1,10.69,1.7,1
20220104,10,101,Electronics,45,96,144,57.22,59.61,34.33,22.89,40.0,62.64,1.0198,0,0.0,2.09,1
20220105,10,101,Electronics,49,7,144,23.78,22.7,14.27,9.51,40.0,25.49,0.9751,0,0.0,0.14,1
20220106,10,101,Electronics,54,93,144,42.92,53.29,25.75,17.17,40.0,46.91,1.113,0,0.0,1.69,1
20220107,10,101,Electronics,47,75,144,34.31,40.89,20.59,13.72,40.0,35.07,1.0901,0,0.0,1.56,1
20220108,10,101,Electronics,69,54,144,28.44,29.74,17.06,11.38,40.0,29.36,1.0207,0,0.0,0.77,1
20220109,10,101,Electronics,51,52,144,60.31,59.21,36.19,24.12,40.0,58.22,0.99,0,0.0,1.0,1
20220110,10,101,Electronics,54,89,144,70.2,59.27,42.12,28.08,40.0,68.64,0.9182,0,0.0,1.62,1
20220111,10,101,Electronics,55,45,144,80.55,85.44,48.33,32.22,40.0,77.27,1.0293,0,0.0,0.8,1
20220112,10,101,Electronics,33,5,144,15.83,16.33,9.5,6.33,40.0,14.87,1.0125,1,34.46,0.15,1
20220113,10,101,Electronics,40,11,144,81.96,75.08,49.18,32.78,40.0,87.7,0.9565,0,0.0,0.27,1
20220114,10,101,Electronics,49,66,144,21.92,23.11,13.15,8.77,40.0,21.15,1.0245,0,0.0,1.32,1
20220115,10,101,Electronics,38,82,144,79.91,69.19,47.95,31.96,40.0,85.49,0.9299,0,0.0,2.1,1
20220116,10,101,Electronics,53,31,144,31.64,35.06,18.98,12.66,40.0,31.78,1.051,0,0.0,0.57,1
20220117,10,101,Electronics,57,56,144,14.47,17.16,8.68,5.79,40.0,14.65,1.0853,0,0.0,0.97,1
20220118,10,101,Electronics,48,19,144,27.96,26.84,16.78,11.19,40.0,29.39,0.978,0,0.0,0.39,1
20220119,10,101,Electronics,60,10,144,19.73,21.54,11.84,7.89,40.0,19.56,1.0423,0,0.0,0.16,1
20220120,10,101,Electronics,60,96,144,58.13,50.4,34.88,23.25,40.0,56.46,0.9304,0,0.0,1.57,1
20220121,10,101,Electronics,42,31,144,40.38,38.13,24.23,16.15,40.0,39.72,0.9705,0,0.0,0.72,1
20220122,10,101,Electronics,49,83,144,23.55,25.19,14.13,9.42,40.0,21.99,1.032,0,0.0,1.66,1
20220123,10,101,Electronics,54,16,144,60.04,62.44,36.02,24.01,40.0,57.06,1.019,0,0.0,0.29,1
20220124,10,101,Electronics,55,85,144,37.08,40.57,22.25,14.83,40.0,35.35,1.0446,0,0.0,1.52,1
20220125,10,101,Electronics,74,6,144,40.61,49.94,24.37,16.24,40.0,40.86,1.1075,0,0.0,0.08,1
20220126,10,101,Electronics,38,59,144,64.29,62.0,38.58,25.72,40.0,67.66,0.9812,0,0.0,1.51,1
20220127,10,101,Electronics,71,15,144,72.83,76.9,43.7,29.13,40.0,77.44,1.0268,0,0.0,0.21,1
20220128,10,101,Electronics,69,84,144,27.9,27.81,16.74,11.16,40.0,25.34,0.9966,0,0.0,1.2,1
20220129,10,101,Electronics,42,75,144,58.56,72.59,35.13,23.42,40.0,54.74,1.1125,0,0.0,1.74,1
20220130,10,101,Electronics,51,5,144,56.24,47.87,33.74,22.49,40.0,58.21,0.9218,0,0.0,0.1,1
20220131,10,101,Electronics,43,20,144,33.31,32.77,19.99,13.33,40.0,35.43,0.9903,0,0.0,0.45,1
20220201,10,101,Electronics,67,52,144,53.82,60.02,32.29,21.53,40.0,58.83,1.055,0,0.0,0.76,1
20220202,10,101,Electronics,71,84,144,78.81,90.02,47.29,31.53,40.0,85.07,1.0681,0,0.0,1.17,1
20220203,10,101,Electronics,42,79,144,85.91,81.29,51.54,34.36,40.0,93.39,0.9722,0,0.0,1.84,1
20220204,10,101,Electronics,61,29,144,74.18,71.86,44.51,29.67,40.0,66.84,0.9836,0,0.0,0.47,1
20220205,10,101,Electronics,52,84,144,66.37,61.64,39.82,26.55,40.0,72.94,0.963,0,0.0,1.58,1
20220206,10,101,Electronics,51,12,144,16.5,16.54,9.9,6.6,40.0,17.65,0.9982,0,0.0,0.23,1
20220207,10,101,Electronics,48,90,144,53.02,63.31,31.81,21.21,40.0,50.53,1.0917,0,0.0,1.84,1
20220208,10,101,Electronics,61,25,144,93.53,97.71,56.12,37.41,40.0,93.58,1.0215,0,0.0,0.4,1
20220209,10,101,Electronics,71,65,144,49.93,56.86,29.96,19.97,40.0,49.92,1.0661,0,0.0,0.9,1
20220210,10,101,Electronics,63,50,144,65.66,80.33,39.4,26.27,40.0,71.11,1.1052,0,0.0,0.78,1
20220211,10,101,Electronics,55,50,144,19.11,16.31,11.47,7.64,40.0,20.89,0.9216,0,0.0,0.89,1
20220212,10,101,Electronics,72,71,144,80.31,87.51,48.19,32.12,40.0,75.0,1.0432,0,0.0,0.97,1
20220213,10,101,Electronics,51,50,144,101.99,94.57,61.19,40.8,40.0,93.77,0.9625,0,0.0,0.96,1
20220214,10,101,Electronics,75,21,144,84.88,99.15,50.93,33.95,40.0,90.8,1.0802,1,31.27,0.28,1
20220215,10,101,Electronics,61,30,144,56.94,61.99,34.17,22.78,40.0,60.48,1.0424,0,0.0,0.48,1
20220216,10,101,Electronics,75,69,144,93.05,92.63,55.83,37.22,40.0,85.06,0.9972,0,0.0,0.91,1
20220217,10,101,Electronics,54,19,144,22.3,19.32,13.38,8.92,40.0,21.75,0.9285,1,27.35,0.35,1
20220218,10,101,Electronics,37,62,144,17.81,18.06,10.68,7.12,40.0,19.09,1.0041,0,0.0,1.63,1
20220219,10,101,Electronics,65,64,144,16.86,18.3,10.12,6.74,40.0,16.28,1.0388,0,0.0,0.97,1
20220220,10,101,Electronics,67,98,144,45.17,38.08,27.1,18.07,40.0,45.54,0.9172,0,0.0,1.44,1
20220221,10,101,Electronics,52,34,144,91.32,76.72,54.79,36.53,40.0,82.94,0.9161,0,0.0,0.64,1
20220222,10,101,Electronics,48,66,144,56.91,51.85,34.15,22.76,40.0,60.73,0.9537,0,0.0,1.35,1
20220223,10,101,Electronics,56,5,144,43.26,49.76,25.95,17.3,40.0,42.76,1.0713,0,0.0,0.09,1
20220224,10,101,Electronics,66,65,144,20.06,22.98,12.04,8.03,40.0,21.02,1.0675,0,0.0,0.97,1
20220225,10,101,Electronics,67,80,144,64.84,67.0,38.9,25.94,40.0,65.7,1.0157,0,0.0,1.18,1
20220226,10,101,Electronics,70,37,144,23.62,25.21,14.17,9.45,40.0,23.45,1.031,0,0.0,0.52,1
20220227,10,101,Electronics,61,38,144,22.51,19.09,13.51,9.01,40.0,21.44,0.9187,1,38.0,0.61,1
20220228,10,101,Electronics,71,84,144,58.5,57.59,35.1,23.4,40.0,60.16,0.9914,1,27.57,1.17,1
20220301,10,101,Electronics,77,54,144,97.79,94.92,58.67,39.11,40.0,99.22,0.9847,1,34.34,0.69,1
20220302,10,101,Electronics,64,47,144,89.02,84.75,53.41,35.61,40.0,83.61,0.9752,1,13.02,0.72,1
20220303,10,101,Electronics,79,39,144,13.86,16.55,8.32,5.55,40.0,13.41,1.0886,0,0.0,0.49,1
20220304,10,101,Electronics,44,11,144,51.23,47.76,30.74,20.49,40.0,47.32,0.9646,0,0.0,0.24,1
20220305,10,101,Electronics,47,40,144,78.8,68.46,47.28,31.52,40.0,77.5,0.9315,0,0.0,0.83,1
20220306,10,101,Electronics,84,40,144,59.69,61.58,35.82,23.88,40.0,58.16,1.0148,0,0.0,0.47,1
20220307,10,101,Electronics,75,41,144,51.54,43.97,30.93,20.62,40.0,48.85,0.9227,0,0.0,0.54,1
20220308,10,101,Electronics,72,88,144,69.74,77.89,41.84,27.89,40.0,74.29,1.0561,0,0.0,1.21,1
20220309,10,101,Electronics,34,16,144,87.08,91.12,52.25,34.83,40.0,95.07,1.0223,0,0.0,0.46,1
20220310,10,101,Electronics,54,20,144,53.42,45.17,32.05,21.37,40.0,52.87,0.9187,0,0.0,0.36,1
20220311,10,101,Electronics,83,57,144,45.9,42.94,27.54,18.36,40.0,48.58,0.9661,0,0.0,0.68,1
20220312,10,101,Electronics,62,9,144,22.7,22.75,13.62,9.08,40.0,23.78,0.9989,0,0.0,0.14,1
20220313,10,101,Electronics,48,13,144,89.05,75.0,53.43,35.62,40.0,93.71,0.9172,0,0.0,0.27,1
20220314,10,101,Electronics,61,54,144,19.67,23.6,11.8,7.87,40.0,21.21,1.0925,1,25.4,0.87,1
20220315,10,101,Electronics,63,69,144,35.96,34.82,21.57,14.38,40.0,38.69,0.9828,0,0.0,1.08,1
20220316,10,101,Electronics,76,23,144,95.54,92.15,57.32,38.22,40.0,100.84,0.9816,0,0.0,0.3,1
20220317,10,101,Electronics,46,43,144,59.36,51.06,35.61,23.74,40.0,58.58,0.9267,0,0.0,0.91,1
20220318,10,101,Electronics,71,43,144,50.86,49.44,30.51,20.34,40.0,53.36,0.985,0,0.0,0.6,1
20220319,10,101,Electronics,73,29,144,91.94,96.78,55.16,36.78,40.0,98.72,1.0254,0,0.0,0.39,1
20220320,10,101,Electronics,70,79,144,77.97,96.87,46.78,31.19,40.0,84.51,1.1139,0,0.0,1.11,1
20220321,10,101,Electronics,81,51,144,61.52,74.11,36.91,24.61,40.0,63.12,1.0966,0,0.0,0.62,1
20220322,10,101,Electronics,71,61,144,56.37,53.64,33.82,22.55,40.0,61.05,0.9746,0,0.0,0.85,1
20220323,10,101,Electronics,65,28,144,19.08,19.92,11.45,7.63,40.0,19.54,1.0191,0,0.0,0.42,1
20220324,10,101,Electronics,75,96,144,30.54,30.99,18.32,12.22,40.0,29.69,1.0057,0,0.0,1.26,1
20220325,10,101,Electronics,44,77,144,43.51,53.53,26.11,17.4,40.0,41.85,1.1078,0,0.0,1.71,1
20220326,10,101,Electronics,49,60,144,63.32,73.2,37.99,25.33,40.0,68.09,1.0743,0,0.0,1.2,1
20220327,10,101,Electronics,86,69,144,27.98,29.01,16.79,11.19,40.0,27.87,1.0164,0,0.0,0.79,1
20220328,10,101,Electronics,73,53,144,51.72,47.02,31.03,20.69,40.0,55.22,0.9526,0,0.0,0.72,1
20220329,10,101,Electronics,60,59,144,45.7,50.26,27.42,18.28,40.0,49.04,1.0475,0,0.0,0.97,1
20220330,10,101,Electronics,74,41,144,119.84,99.98,71.9,47.93,40.0,126.0,0.913,0,0.0,0.55,1
20220331,10,101,Electronics,70,5,144,31.3,35.49,18.78,12.52,40.0,34.15,1.0631,0,0.0,0.07,1
20220401,10,101,Electronics,41,76,144,36.8,34.43,22.08,14.72,40.0,33.28,0.966,0,0.0,1.81,1
20220402,10,101,Electronics,73,54,144,62.83,55.48,37.7,25.13,40.0,67.26,0.9389,0,0.0,0.73,1
20220403,10,101,Electronics,46,51,144,72.12,62.68,43.27,28.85,40.0,70.98,0.9316,0,0.0,1.09,1
20220404,10,101,Electronics,55,42,144,77.81,69.35,46.68,31.12,40.0,79.63,0.9435,0,0.0,0.75,1
20220405,10,101,Electronics,50,56,144,70.33,66.69,42.2,28.13,40.0,71.0,0.9731,0,0.0,1.1,1
20220406,10,101,Electronics,66,55,144,84.92,92.39,50.95,33.97,40.0,88.28,1.0424,0,0.0,0.82,1
20220407,10,101,Electronics,59,70,144,61.44,54.04,36.86,24.58,40.0,59.34,0.9371,0,0.0,1.17,1
20220408,10,101,Electronics,61,27,144,29.4,35.41,17.64,11.76,40.0,27.22,1.0956,0,0.0,0.44,1
20220409,10,101,Electronics,54,71,144,28.31,26.8,16.99,11.32,40.0,30.43,0.9712,0,0.0,1.29,1
20220410,10,101,Electronics,48,55,144,101.7,97.71,61.02,40.68,40.0,92.36,0.9797,0,0.0,1.12,1
20220411,10,101,Electronics,47,38,144,33.68,38.68,20.21,13.47,40.0,31.18,1.07,0,0.0,0.79,1
20220412,10,101,Electronics,65,51,144,35.43,42.33,21.26,14.17,40.0,36.34,1.0916,1,36.21,0.77,1
20220413,10,101,Electronics,79,56,144,76.9,93.27,46.14,30.76,40.0,72.43,1.1006,0,0.0,0.7,1
20220414,10,101,Electronics,53,91,144,58.84,56.18,35.31,23.54,40.0,59.21,0.9763,0,0.0,1.69,1
20220415,10,101,Electronics,72,27,144,17.44,20.3,10.46,6.98,40.0,17.48,1.0758,0,0.0,0.37,1
20220416,10,101,Electronics,52,19,144,23.6,24.11,14.16,9.44,40.0,21.74,1.0086,0,0.0,0.36,1
20220417,10,101,Electronics,41,17,144,31.27,30.49,18.76,12.51,40.0,31.86,0.9859,0,0.0,0.4,1
20220418,10,101,Electronics,64,90,144,82.03,82.08,49.22,32.81,40.0,83.45,0.9997,0,0.0,1.38,1
20220419,10,101,Electronics,55,30,144,43.99,51.69,26.39,17.6,40.0,44.94,1.0828,0,0.0,0.54,1
20220420,10,101,Electronics,46,37,144,53.46,57.35,32.08,21.38,40.0,48.19,1.0348,0,0.0,0.79,1
20220421,10,101,Electronics,71,83,144,45.83,46.06,27.5,18.33,40.0,48.74,1.0014,0,0.0,1.15,1
20220422,10,101,Electronics,61,61,144,31.52,29.53,18.91,12.61,40.0,32.89,0.9664,0,0.0,0.98,1
20220423,10,101,Electronics,47,24,144,63.03,55.51,37.82,25.21,40.0,59.78,0.9377,1,28.32,0.5,1
20220424,10,101,Electronics,67,15,144,40.82,39.53,24.49,16.33,40.0,44.35,0.9829,0,0.0,0.22,1
20220425,10,101,Electronics,88,14,144,62.05,65.48,37.23,24.82,40.0,68.14,1.0264,0,0.0,0.16,1
20220426,10,101,Electronics,39,77,144,75.61,83.84,45.37,30.24,40.0,79.55,1.0523,0,0.0,1.93,1
20220427,10,101,Electronics,69,66,144,53.14,55.08,31.88,21.26,40.0,55.76,1.0172,0,0.0,0.94,1
20220428,10,101,Electronics,53,38,144,112.82,94.3,67.69,45.13,40.0,105.63,0.9138,1,32.23,0.7,1
20220429,10,101,Electronics,60,18,144,72.56,63.83,43.53,29.02,40.0,76.9,0.9373,0,0.0,0.3,1
20220430,10,101,Electronics,58,82,144,27.58,30.84,16.55,11.03,40.0,27.71,1.0555,0,0.0,1.39,1
20220501,10,101,Electronics,58,18,144,85.71,89.56,51.43,34.28,40.0,92.56,1.0216,0,0.0,0.31,1
20220502,10,101,Electronics,77,29,144,59.39,60.88,35.63,23.76,40.0,57.67,1.0116,0,0.0,0.37,1
20220503,10,101,Electronics,69,74,144,49.77,60.21,29.86,19.91,40.0,54.15,1.0988,0,0.0,1.06,1
20220504,10,101,Electronics,45,19,144,37.2,43.47,22.32,14.88,40.0,40.01,1.0796,0,0.0,0.41,1
20220505,10,101,Electronics,70,37,144,80.31,78.02,48.18,32.12,40.0,72.82,0.9851,0,0.0,0.52,1
20220506,10,101,Electronics,63,42,144,91.84,79.81,55.1,36.73,40.0,92.51,0.9317,0,0.0,0.66,1
20220507,10,101,Electronics,95,33,144,56.08,53.85,33.65,22.43,40.0,53.05,0.979,0,0.0,0.34,1
20220508,10,101,Electronics,60,40,144,80.51,76.2,48.3,32.2,40.0,81.19,0.9723,0,0.0,0.66,1
20220509,10,101,Electronics,65,76,144,38.73,44.38,23.24,15.49,40.0,38.14,1.0691,0,0.0,1.15,1
20220510,10,101,Electronics,64,66,144,78.35,67.27,47.01,31.34,40.0,72.1,0.926,0,0.0,1.02,1
20220511,10,101,Electronics,72,35,144,79.57,76.72,47.74,31.83,40.0,81.27,0.9813,0,0.0,0.48,1
20220512,10,101,Electronics,61,90,144,91.08,77.6,54.65,36.43,40.0,98.56,0.9225,1,17.08,1.45,1
20220513,10,101,Electronics,56,58,144,25.42,29.07,15.25,10.17,40.0,25.52,1.0672,0,0.0,1.02,1
20220514,10,101,Electronics,76,13,144,40.2,48.92,24.12,16.08,40.0,37.84,1.1017,0,0.0,0.17,1
20220515,10,101,Electronics,76,42,144,56.08,66.32,33.65,22.43,40.0,54.36,1.0864,0,0.0,0.55,1
20220516,10,101,Electronics,55,47,144,76.2,77.69,45.72,30.48,40.0,69.08,1.009,0,0.0,0.84,1
20220517,10,101,Electronics,69,26,144,37.22,36.1,22.33,14.89,40.0,35.14,0.9835,0,0.0,0.37,1
20220518,10,101,Electronics,45,53,144,69.97,58.79,41.98,27.99,40.0,70.77,0.916,0,0.0,1.15,1
20220519,10,101,Electronics,48,98,144,52.85,60.48,31.71,21.14,40.0,55.49,1.0688,0,0.0,2.0,1
20220520,10,101,Electronics,47,33,144,80.56,91.33,48.34,32.22,40.0,82.58,1.0641,0,0.0,0.69,1
20220521,10,101,Electronics,68,70,144,89.12,86.11,53.47,35.65,40.0,89.73,0.9824,0,0.0,1.01,1
20220522,10,101,Electronics,43,8,144,63.32,57.25,37.99,25.33,40.0,59.29,0.9501,0,0.0,0.18,1
20220523,10,101,Electronics,68,91,144,90.58,95.42,54.35,36.23,40.0,99.26,1.0258,0,0.0,1.32,1
20220524,10,101,Electronics,42,61,144,85.43,88.69,51.26,34.17,40.0,80.68,1.0183,0,0.0,1.42,1
20220525,10,101,Electronics,64,71,144,58.26,72.11,34.95,23.3,40.0,62.77,1.1116,0,0.0,1.09,1
20220526,10,101,Electronics,51,92,144,85.58,76.27,51.35,34.23,40.0,89.39,0.9435,0,0.0,1.77,1
20220527,10,101,Electronics,45,99,144,82.05,85.57,49.23,32.82,40.0,79.16,1.0206,1,29.0,2.15,1
20220528,10,101,Electronics,58,23,144,88.35,77.55,53.01,35.34,40.0,89.82,0.9364,0,0.0,0.39,1
20220529,10,101,Electronics,39,6,144,102.42,90.88,61.45,40.97,40.0,99.61,0.9415,1,34.92,0.15,1
20220530,10,101,Electronics,44,13,144,49.2,44.34,29.52,19.68,40.0,48.57,0.9484,0,0.0,0.29,1
20220531,10,101,Electronics,62,85,144,105.7,95.62,63.42,42.28,40.0,105.38,0.9507,0,0.0,1.35,1
20220601,10,101,Electronics,52,29,144,84.25,78.04,50.55,33.7,40.0,80.17,0.9619,1,35.05,0.55,1
20220602,10,101,Electronics,48,79,144,99.69,98.67,59.81,39.88,40.0,106.12,0.9944,0,0.0,1.61,1
20220603,10,101,Electronics,46,38,144,84.22,84.28,50.53,33.69,40.0,85.13,0.9998,0,0.0,0.81,1
20220604,10,101,Electronics,76,57,144,75.48,85.53,45.29,30.19,40.0,70.58,1.0637,0,0.0,0.74,1
20220605,10,101,Electronics,73,50,144,48.23,50.6,28.94,19.29,40.0,43.86,1.0232,0,0.0,0.68,1
20220606,10,101,Electronics,42,25,144,64.76,77.73,38.86,25.9,40.0,69.13,1.0947,0,0.0,0.58,1
20220607,10,101,Electronics,57,58,144,101.04,92.82,60.63,40.42,40.0,100.56,0.958,0,0.0,1.0,1
20220608,10,101,Electronics,57,85,144,103.43,94.63,62.06,41.37,40.0,103.36,0.956,0,0.0,1.47,1
20220609,10,101,Electronics,35,77,144,48.11,43.41,28.87,19.25,40.0,44.03,0.9489,0,0.0,2.14,1
20220610,10,101,Electronics,35,7,144,61.42,57.12,36.85,24.57,40.0,56.23,0.9635,1,39.03,0.19,1
20220611,10,101,Electronics,52,48,144,12.99,15.45,7.8,5.2,40.0,13.79,1.0861,0,0.0,0.91,1
20220612,10,101,Electronics,41,84,144,88.41,82.15,53.05,35.37,40.0,95.01,0.9634,0,0.0,2.0,1
20220613,10,101,Electronics,51,84,144,88.86,83.56,53.32,35.55,40.0,95.07,0.9691,0,0.0,1.62,1
20220614,10,101,Electronics,64,18,144,50.29,56.6,30.17,20.12,40.0,46.47,1.0598,0,0.0,0.28,1
20220615,10,101,Electronics,57,63,144,26.54,31.37,15.93,10.62,40.0,28.9,1.0851,0,0.0,1.09,1
20220616,10,101,Electronics,57,21,144,100.44,88.27,60.26,40.18,40.0,103.46,0.937,0,0.0,0.36,1
20220617,10,101,Electronics,46,7,144,62.18,62.66,37.31,24.87,40.0,64.62,1.003,0,0.0,0.15,1
20220618,10,101,Electronics,61,97,144,63.29,76.61,37.97,25.31,40.0,65.33,1.0993,0,0.0,1.56,1
20220619,10,101,Electronics,31,70,144,57.48,59.21,34.49,22.99,40.0,52.01,1.0141,0,0.0,2.19,1
