markdown_date,store_id,sku,category,original_price,markdown_price,discount_pct,base_quantity_sold,markdown_quantity_sold,quantity_uplift_pct,markdown_duration_days,unit_cost,base_margin_dollars,markdown_margin_dollars
20200803,1459,64,Category 01,55.87,41.57,25.6,17,22,30.7,47,32.22,402,205
20201201,1392,148,Category 03,34.74,21.72,37.5,63,91,45.0,33,19.46,962,205
20200419,1587,6,Category 06,58.66,39.34,32.9,29,43,49.4,42,32.93,746,275
20200303,1311,155,Category 01,42.34,31.95,24.5,28,36,29.4,49,22.82,546,328
20200906,1710,7,Category 06,64.01,41.84,34.6,62,94,52.0,47,33.79,1873,756
20200729,485,64,Category 01,63.99,54.26,15.2,66,78,18.2,42,32.22,2096,1719
20200522,1616,83,Category 05,58.5,47.37,19.0,76,97,28.5,49,31.61,2043,1528
20200502,209,39,Category 06,39.51,25.08,37.3,65,100,54.8,38,22.8,1086,227
20200402,1259,39,Category 06,39.46,25.75,34.7,66,100,52.1,20,22.8,1099,294
20201216,1013,148,Category 03,32.68,26.29,19.6,73,90,23.5,26,19.46,965,614
20200922,1013,1,Category 07,54.34,48.48,10.8,26,30,16.2,14,29.23,652,577
20200730,303,6,Category 06,62.78,42.02,33.1,69,103,49.6,29,32.93,2059,936
20200307,721,83,Category 05,60.0,40.97,31.7,39,57,47.6,21,31.61,1107,533
20200611,1830,67,Category 05,38.42,32.05,16.6,71,88,24.9,45,20.88,1245,982
20200413,978,7,Category 06,63.13,45.34,28.2,63,89,42.3,15,33.79,1848,1027
20200331,1164,83,Category 05,61.7,41.01,33.5,55,82,50.3,42,31.61,1654,770
20201107,614,7,Category 06,63.36,38.62,39.0,36,57,58.6,41,33.79,1064,275
20200106,603,46,Category 04,51.07,41.22,19.3,68,87,28.9,35,24.88,1780,1421
20200418,1763,76,Category 05,38.36,27.38,28.6,21,30,42.9,55,22.03,342,160
20200526,639,154,Category 01,52.68,34.75,34.0,50,70,40.8,37,27.57,1255,502
20200610,232,154,Category 01,50.44,39.91,20.9,60,75,25.1,30,27.57,1372,925
20200731,1161,8,Category 05,55.92,42.86,23.4,27,36,35.0,47,31.14,669,421
20200512,334,111,Category 04,56.26,43.8,22.1,26,34,33.2,48,28.95,710,504
20200412,98,64,Category 01,59.31,36.23,38.9,52,76,46.7,16,32.22,1408,304
20200324,871,46,Category 04,51.64,31.41,39.2,62,98,58.8,26,24.88,1659,639
20201013,1020,57,Category 04,66.85,49.14,26.5,53,74,39.7,51,34.92,1692,1052
20201206,1710,57,Category 04,67.76,46.74,31.0,37,54,46.5,34,34.92,1215,638
20201120,1393,110,Category 02,72.46,52.19,28.0,35,49,42.0,28,33.7,1356,906
20201228,1858,154,Category 01,52.41,39.45,24.7,58,75,29.7,37,27.57,1440,891
20200810,1937,2,Category 01,29.6,25.6,13.5,37,42,16.2,25,15.99,503,403
