store_id,sku,current_price,recommended_price,discount_pct,current_quantity,predicted_quantity,quantity_uplift_pct,current_margin_dollars,predicted_margin_dollars,margin_improvement,clearance_probability
164,76,40.06,40.06,0.0,5,5,0.0,90.0,90.0,0.0,1.0
1283,39,41.46,41.46,0.0,5,5,0.0,93.0,93.0,0.0,1.0
1459,64,58.59,58.59,0.0,5,5,0.0,132.0,132.0,0.0,1.0
303,83,57.47,57.47,0.0,5,5,0.0,129.0,129.0,0.0,1.0
1936,153,81.33,81.33,0.0,5,5,0.0,203.0,203.0,0.0,1.0
999,64,58.59,58.59,0.0,5,5,0.0,132.0,132.0,0.0,1.0
1822,111,55.68,55.68,0.0,5,5,0.0,134.0,134.0,0.0,1.0
1858,64,58.59,58.59,0.0,5,5,0.0,132.0,132.0,0.0,1.0
334,52,37.7,37.7,0.0,5,5,0.0,85.0,85.0,0.0,1.0
1160,110,67.39,67.39,0.0,5,5,0.0,168.0,168.0,0.0,1.0
1763,67,37.97,37.97,0.0,5,5,0.0,85.0,85.0,0.0,1.0
1616,64,58.59,58.59,0.0,5,5,0.0,132.0,132.0,0.0,1.0
486,6,59.88,59.88,0.0,5,5,0.0,135.0,135.0,0.0,1.0
210,148,32.44,32.44,0.0,5,5,0.0,65.0,65.0,0.0,1.0
1937,153,81.33,81.33,0.0,5,5,0.0,203.0,203.0,0.0,1.0
