store_id,store_name,store_type,region,city,state,store_format,annual_sales_usd,avg_daily_traffic
63,Store_63,Urban Premium,Central,City_3,State_3,Premium,2098352.0,1905.0
98,Store_98,Rural General,North,City_8,State_3,Discount,3204934.0,2935.0
164,Store_164,Suburban Discount,South,City_4,State_4,Discount,8143295.0,1497.0
171,Store_171,Urban Premium,Central,City_1,State_1,Supermarket,3109227.0,3004.0
178,Store_178,Suburban Discount,North,City_8,State_3,Premium,2663307.0,1098.0
206,Store_206,Urban Premium,East,City_6,State_1,Premium,7040697.0,853.0
209,Store_209,Urban Supermarket,Central,City_9,State_4,Premium,4420352.0,1623.0
210,Store_210,Suburban Discount,Central,City_0,State_0,Discount,7895453.0,1757.0
232,Store_232,Rural General,North,City_2,State_2,Supermarket,4084814.0,1862.0
249,Store_249,Urban Premium,South,City_9,State_4,Supermarket,9652726.0,3786.0
273,Store_273,Rural General,East,City_3,State_3,Premium,8358780.0,1729.0
274,Store_274,Urban Supermarket,North,City_4,State_4,Premium,4659185.0,2560.0
303,Store_303,Urban Supermarket,North,City_3,State_3,Discount,4702720.0,4273.0
334,Store_334,Urban Supermarket,South,City_4,State_4,Discount,3843287.0,3112.0
337,Store_337,Urban Premium,East,City_7,State_2,Discount,6092935.0,4147.0
338,Store_338,Rural General,South,City_8,State_3,Premium,4090980.0,3762.0
339,Store_339,Suburban Discount,West,City_9,State_4,Discount,4715348.0,2460.0
371,Store_371,Suburban Discount,Central,City_1,State_1,Discount,7511082.0,500.0
373,Store_373,Suburban Discount,West,City_3,State_3,Discount,2970800.0,2743.0
377,Store_377,Rural General,North,City_7,State_2,Premium,5220122.0,2783.0
381,Store_381,Urban Premium,South,City_1,State_1,Premium,2219142.0,3802.0
397,Store_397,Suburban Discount,West,City_7,State_2,Premium,5288262.0,3507.0
425,Store_425,Rural General,West,City_5,State_0,Premium,2413780.0,2765.0
485,Store_485,Urban Premium,East,City_5,State_0,Supermarket,6416843.0,3019.0
486,Store_486,Rural General,East,City_6,State_1,Supermarket,5990672.0,4487.0
508,Store_508,Rural General,East,City_8,State_3,Supermarket,5825181.0,655.0
531,Store_531,Urban Supermarket,South,City_1,State_1,Discount,8098635.0,2596.0
545,Store_545,Suburban Discount,Central,City_5,State_0,Supermarket,2220037.0,1896.0
567,Store_567,Suburban Discount,South,City_7,State_2,Supermarket,9500093.0,4495.0
574,Store_574,Urban Supermarket,Central,City_4,State_4,Supermarket,4279712.0,3538.0
579,Store_579,Suburban Discount,East,City_9,State_4,Premium,5675202.0,2675.0
600,Store_600,Suburban Discount,North,City_0,State_0,Discount,3947734.0,3767.0
603,Store_603,Urban Supermarket,East,City_3,State_3,Supermarket,3454941.0,1053.0
614,Store_614,Suburban Discount,West,City_4,State_4,Premium,4732401.0,3816.0
625,Store_625,Urban Premium,West,City_5,State_0,Supermarket,3082917.0,1969.0
633,Store_633,Rural General,South,City_3,State_3,Supermarket,3490943.0,2248.0
639,Store_639,Suburban Discount,South,City_9,State_4,Premium,3744420.0,1506.0
665,Store_665,Urban Supermarket,West,City_5,State_0,Premium,5013955.0,1651.0
679,Store_679,Urban Premium,North,City_9,State_4,Discount,4890591.0,2398.0
721,Store_721,Urban Premium,East,City_1,State_1,Discount,7194927.0,1175.0
790,Store_790,Rural General,West,City_0,State_0,Premium,9979927.0,2557.0
865,Store_865,Rural General,West,City_5,State_0,Premium,3285572.0,3108.0
871,Store_871,Rural General,West,City_1,State_1,Discount,8370068.0,2129.0
875,Store_875,Urban Supermarket,North,City_5,State_0,Supermarket,8999052.0,4968.0
904,Store_904,Urban Premium,North,City_4,State_4,Premium,8474492.0,3701.0
930,Store_930,Rural General,Central,City_0,State_0,Discount,8070805.0,2440.0
978,Store_978,Urban Supermarket,West,City_8,State_3,Premium,4393756.0,1444.0
999,Store_999,Urban Supermarket,North,City_9,State_4,Supermarket,2771098.0,3062.0
1013,Store_1013,Urban Premium,South,City_3,State_3,Supermarket,4181148.0,4830.0
1020,Store_1020,Urban Supermarket,Central,City_0,State_0,Premium,6128256.0,1714.0
1027,Store_1027,Urban Premium,Central,City_7,State_2,Supermarket,5464994.0,4708.0
1068,Store_1068,Suburban Discount,North,City_8,State_3,Premium,2985321.0,4610.0
1094,Store_1094,Rural General,Central,City_4,State_4,Discount,9863234.0,1534.0
1101,Store_1101,Rural General,East,City_1,State_1,Supermarket,8833641.0,1213.0
1160,Store_1160,Urban Supermarket,East,City_0,State_0,Supermarket,5942348.0,1839.0
1161,Store_1161,Urban Supermarket,South,City_1,State_1,Premium,3553378.0,2497.0
1164,Store_1164,Urban Supermarket,Central,City_4,State_4,Supermarket,9744231.0,1796.0
1182,Store_1182,Urban Premium,West,City_2,State_2,Discount,2969087.0,3954.0
1208,Store_1208,Suburban Discount,Central,City_8,State_3,Discount,2671209.0,3082.0
1232,Store_1232,Rural General,West,City_2,State_2,Supermarket,8070529.0,1999.0
1259,Store_1259,Suburban Discount,Central,City_9,State_4,Discount,8206292.0,4572.0
1283,Store_1283,Urban Premium,Central,City_3,State_3,Discount,8956540.0,4445.0
1302,Store_1302,Rural General,East,City_2,State_2,Discount,2329894.0,3609.0
1311,Store_1311,Suburban Discount,Central,City_1,State_1,Premium,6518367.0,4248.0
1327,Store_1327,Suburban Discount,South,City_7,State_2,Discount,2513138.0,4261.0
1328,Store_1328,Urban Supermarket,Central,City_8,State_3,Premium,7930298.0,3940.0
